customer_id,customer_name,customer_gender,customer_age,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,lifetime_total_distinct_products,percentage_of_products_bought_promotion,customer_tenure,customer_loyalty,latitude,longitude,total_spend,percentage_lifetime_spend_groceries,percentage_lifetime_spend_electronics,percentage_lifetime_spend_vegetables,percentage_lifetime_spend_nonalcohol_drinks,percentage_lifetime_spend_alcohol_drinks,percentage_lifetime_spend_meat,percentage_lifetime_spend_fish,percentage_lifetime_spend_hygiene,percentage_lifetime_spend_videogames,percentage_lifetime_spend_petfood,customer_education,dietary_preferences,nr_childs
32,`s Fishy,True,55,,1.0,11783.0,13.0,12.0,1191.0,403.0,56.0,91.0,37960.0,152.0,0.0,0.0,26.0,0.1460783269713407,14.0,1,39.35671809565866,-9.3811240824615,51649.0,0.22813602816394737,0.0002516989193016478,0.023059493299097115,0.0078026664983510815,0.0010842414985301752,0.0017618924351115344,0.7349608443608115,0.0029429412102961894,0.0,0.0,3,Fish and Meat,0.0
163,`s Fishy,False,73,1.0,1.0,15867.0,245.0,6.0,733.0,520.0,120.0,62.0,36561.0,82.0,0.0,0.0,19.0,0.6944724410176764,9.0,1,39.35727449719274,-9.38200965835641,54190.0,0.2928030461703181,0.004521128525349968,0.013526478404414392,0.009595864625232584,0.0022144302981305965,0.0011441223207008082,0.6746815510829395,0.0015131940370559074,0.0,0.0,1,Fish and Meat,0.0
211,`s Fishy,False,76,0.0,1.0,15206.0,106.0,10.0,428.0,356.0,115.0,138.0,35195.0,4.0,0.0,0.0,21.0,0.5350248258399829,14.0,1,39.35732345922949,-9.380868649207969,51548.0,0.29498713917375274,0.00205633544340509,0.008302939337522438,0.006906183187285018,0.002230929962184767,0.0026771159546217205,0.6827615653834164,7.759756390207885e-05,0.0,0.0,1,Fish and Meat,0.0
219,`s Fishy,True,26,1.0,1.0,14898.0,241.0,17.0,239.0,305.0,115.0,102.0,38476.0,138.0,0.0,0.0,31.0,0.5584070278979467,3.0,1,39.35702662361633,-9.38218920697739,54514.0,0.27328754571531244,0.004420881898066204,0.004384194081484741,0.005594892028672996,0.0021095494534340803,0.0018710786456545758,0.7058002153941711,0.0025314593441208965,0.0,0.0,2,Fish and Meat,0.0
245,Laura`s Fishy,False,48,1.0,1.0,9438.0,119.0,6.0,23.0,358.0,86.0,0.0,44169.0,190.0,0.0,0.0,41.0,0.2426214246783443,16.0,1,38.9624791789633,-9.41790725714642,54383.0,0.17354684854700025,0.0021881834050744894,0.00042292620434212813,0.006582938311064429,0.00158137624232274,0.0,0.8121838051994548,0.003493738209782798,0.0,0.0,0,Only Fish,0.0
304,Allen`s Fishy,True,26,1.0,1.0,15025.0,376.0,17.0,372.0,479.0,96.0,54.0,44497.0,67.0,0.0,0.0,10.0,0.3005724470342946,3.0,1,39.3569119743028,-9.380850516598445,60966.0,0.24644879991326313,0.006167370966215437,0.0061017606367876134,0.007856836948981899,0.001574647906267771,0.0008857394472756212,0.7298657071374689,0.0010989730179160487,0.0,0.0,0,Fish and Meat,0.0
485,John`s Fishy,True,76,1.0,1.0,13027.0,36.0,7.0,313.0,232.0,75.0,33.0,35356.0,69.0,0.0,0.0,17.0,0.5101462491386525,16.0,1,39.35729215040983,-9.38096918602763,49141.0,0.2650942664792604,0.0007325856753859963,0.006369425455439357,0.004721107685820865,0.001526220157054159,0.00067153686910383,0.7194805316374246,0.0014041225444898263,0.0,0.0,0,Fish and Meat,0.0
498,Daniel`s Fishy,True,61,1.0,1.0,13536.0,363.0,17.0,20.0,249.0,80.0,40.0,38066.0,146.0,0.0,0.0,31.0,0.3472884807939806,13.0,1,39.357338573706365,-9.380872221135292,52500.0,0.2578285223183767,0.006914284397279162,0.0003809523083900365,0.004742856239455954,0.001523809233560146,0.000761904616780073,0.7250665285587564,0.0027809518512472665,0.0,0.0,0,Fish and Meat,0.0
637,Dianne`s Fishy,False,62,1.0,1.0,11689.0,143.0,17.0,39.0,241.0,140.0,87.0,34112.0,24.0,0.0,0.0,36.0,0.2897978564987965,13.0,1,38.96305341799806,-9.416967666165505,46475.0,0.25151151124012666,0.0030769224148633856,0.0008391606585991052,0.005185582531343188,0.003012371594971147,0.0018719737768749269,0.733985856054684,0.0005164065591379108,0.0,0.0,0,Fish and Meat,0.0
686,Jon`s Fishy,True,26,1.0,1.0,11601.0,56.0,7.0,357.0,251.0,88.0,34.0,43289.0,191.0,0.0,0.0,28.0,0.5933718670470995,3.0,1,38.96268475750343,-9.417008818366442,55867.0,0.20765385511055628,0.0010023804746307347,0.006390175525770933,0.004492812484505614,0.0015751693172768688,0.0006085881453115175,0.7748580065408905,0.0034188334045441126,0.0,0.0,0,Fish and Meat,0.0
